address,advertiser_id,advertiser_name,age,bath_amnt,bed_amnt,bed_ratio,covered_ratio,covered_surface,covered_surface_unit,currency,date_extracted,date_published,description,disposition,district,features,garage_amnt,is_finished_property,is_new_property,is_studio_apartment,land_ratio,land_surface,land_surface_unit,latitude,listing_age,listing_id,longitude,luminosity,maintenance_fee,maintenance_fee_currency,neighborhood,orientation,price,price_control,property_group,property_type,province,reconstructed_land_surface,reconstructed_land_surface_unit,reconstructed_total_surface,reconstructed_total_surface_unit,response,room_amnt,room_ratio,site,site_abbreviation,title,toilete_amnt,total_ratio,total_surface,total_surface_unit,transaction,uncovered_surface,uncovered_surface_unit,url,year_built
Rio Colorado al 1500,345234414,Analia Fernandez,2.0,3,3,106666.66666666667,2000.0,160,m²,USD,"Sun, 25 Sep 2022 19:34:19 GMT","Sat, 12 Mar 2022 16:05:03 UTC","Hermosa casa en el corazón de Parque Johnston. Amplio living comedor con pisos de porcelanato . Cocina totalmente equipada con mesada, bajo mesada y alacenas. Pasillo de distribución hacia 3 dormitorios con pisos de porcelanato ( el principal en suite y vestidor).  Baño principal  completo con ducha y mampara . Galería (pergola9 con techo en madera. Lote libre parquizado. Piscina.  Lavadero Cubierto.
OBSERVACIONES:
Calefacción por loza radiante
Aire acondicionado en todos los ambientes
Materiales de primera calidad
Antiguedad 2 años
CONSULTE!


Ref 2064",,Hurlingham,"{'Balcón': False, 'Comedor': True, 'Vestidor': True, 'Jardín': True, 'Parrilla': False, 'Toilette': False, 'Cocina': True, 'Living': True, 'Dependencia de servicio': False, 'Patio': False, 'Playroom': False, 'Estudio': False, 'Terraza': False, 'Gas natural': True, 'Línea telefónica': True, 'Aire acondicionado': True, 'Gimnasio': False, 'Calefacción': False, 'Acceso a internet': True, 'Jacuzzi': False, 'Salón de usos múltiples': False, 'Seguridad 24 horas': False, 'Pileta': False, 'Apto crédito': False, 'Dormitorios': '3', 'Superficie cubierta': '160 m²', 'Baños': '3', 'Expensas': '0 ARS', 'Cocheras': '1', 'Antigüedad': '2 años', 'Ambientes': '4', 'Superficie total': '360 m²', 'Operación': 'Venta', 'Inmueble': 'Ph', 'Condición del ítem': 'Usado', 'Tour virtual': False}",1,True,False,False,,,,-34.592903,Publicado hace 197 días,MLA1127384293,-58.63752,,0,,,,320000,True,Ph,Ph,Bs.As. G.B.A. Oeste,,,,,,4,80000.0,mercadolibre,ML,Casa - Hurlingham,,888.8888888888889,360,m²,Venta,,,https://api.mercadolibre.com/items/MLA1127384293,2020.0
Ramon Espindola al 200,773645497,Milagros Rivero,0,1,1,55400.0,1108.0,50,m²,USD,"Sun, 25 Sep 2022 19:34:19 GMT","Sat, 19 Mar 2022 12:43:41 UTC","ES UN FIDEICOMISO AL COSTO, POR SER ASI, POSEE UNA ALTA RENTABILIDAD. ENTREGA ABRIL 2023


AVANCES DE OBRA:
MAMPOSTERíA: 100%

MARCOS INTERIORES: 100%

PREMARCOS CARPINTERíA EXTERIOR: EN PROCESO

REVOQUES BAJO REVESTIMIENTO EN BAñOS Y COCINAS: EN PROCESO

INSTALACIóN SANITARIA CLOACAL, PLUVIAL, AGUA FRíA Y CALIENTE: EN PROCESO

INSTALACIóN ELéCTRICA, CANALIZACIóN EN MAMPOSTERíA: EN PROCESO
EDIFICIO DE 6 PISOS Y TERRAZA. POSEE 6 DEPARTAMENTOS DE 3 AMBIENTES, 6 DEPARTAMENTOS DE 1 AMBIENTE Y 12 DEPARTAMENTOS DE 2 AMBIENTES. TODAS LAS UNIDADES POSEEN BALCON Y PARRILLA INDIVIDUAL.
16 COCHERAS OPTATIVAS Y EN LA TERRAZA CUENTA CON SOLARIUM Y UN SUM CON PARRILLA Y BAñOS.
SE ENCUENTRA CON INMEJORABLE ACCESO. A UNA CUADRA DE ACCESO OESTE Y AV. VERGARA.  AMPLIA FINANCIACION EN DOLARES O PESOS. 
EDIFICIO SONHOS 1 

? SERVICIOS 

 Portero eléctrico. 

 Portón de garaje automático a control remoto. 

 Cocheras individuales optativas. 

 Iluminación con sensores de movimiento en áreas comunes y cocheras. 

? AMENITIES 

 Solárium en piso 7 

 Zona de Parrillas con barra y equipamiento 

 Sector con pérgola de sombra 

 Sanitarios exclusivos 

 Esparcimiento al aire libre de uso común, en terraza 

? TERMINACIONES DE LOS DEPARTAMENTOS 

1) CARPINTERIAS 

 Puerta de Entrada de Chapa BWG 18 con detalles y herrajes en acero 

 Inoxidable. 

 Puertas placa interiores con marco de chapa BWG 18 

 Carpintería Exterior: de aluminio alta prestación, línea Módena de Aluar, 

 Acristalamiento DVH con vidrio laminado de seguridad. 

 Barandas de Balcón con vidrio laminado de seguridad. 

 Frentes de Placard Integral de piso a techo, interior opcional. 

 Muebles de Cocina: bajo y sobre mesada, en melanina EGGER, colección 2021, 

 línea moderna, sistema pusch sin herrajes a la vista con guía telescópica 

 Mesada de Granito, Pileta de acero inoxidable. 

2) INSTALACIONES 

Sanitarias: Artefactos sanitarios Ferrum línea Bari o similar de Primera Calidad 

Grifería Mono comando de Primera Calidad Arizona de FV o similar. 

Instalación para lavarropa. 

Instalación de Gas: Cocina de 4 hornallas y horno visor; expansión con parrilla a 

gas en todas las unidades. 

Agua Caliente por Termo tanque individual Eléctrico, capacidad adecuada según 

cantidad de ambientes. 

Eléctricas: Instalación para campana de extracción cocina 

Pre Instalación para aire acondicionado Split frio/calor en todos los ambientes 

con circuito eléctrico diferenciado. 

Canalización para TV en todos los ambientes habitables 

Tablero general monofásico con interruptor automático diferencial. 

3) TERMINACIONES 

Muros exteriores de 20 cm de espesor que aumentan la aislación térmica de los 

ambientes. 

Yesería general en Paredes y Cielorrasos, con buñas y detalles de terminación. 

 Pisos de Porcellanato en todos los ambientes.
 


    
    
    

Cucicba 6864 - CMCPMO 2927",,Hurlingham,"{'Balcón': True, 'Comedor': False, 'Vestidor': False, 'Jardín': False, 'Parrilla': False, 'Toilette': False, 'Cocina': True, 'Lavadero': False, 'Living': False, 'Dependencia de servicio': False, 'Patio': False, 'Playroom': False, 'Estudio': False, 'Terraza': False, 'Apto profesional': True, 'Apto crédito': False, 'Aire acondicionado': True, 'Gimnasio': False, 'Calefacción': False, 'Acceso a internet': True, 'Jacuzzi': False, 'Salón de usos múltiples': False, 'Gas natural': True, 'Seguridad 24 horas': False, 'Pileta': False, 'Agua corriente': True, 'Línea telefónica': False, 'Dormitorios': '1', 'Superficie cubierta': '50 m²', 'Orientación': 'Este', 'Cantidad de pisos': '1', 'Baños': '1', 'Expensas': '0 ARS', 'Cocheras': '0', 'Antigüedad': '0 años', 'Ambientes': '2', 'Superficie total': '50 m²', 'Operación': 'Venta', 'Subtipo de operación': 'Propiedad individual', 'Inmueble': 'Departamento', 'Condición del ítem': 'Nuevo', 'Tour virtual': False}",0,,True,False,,,,-34.629635,Publicado hace 190 días,MLA1128375164,-58.628174,,0,,Villa Santos Tesei,Este,55400,True,Departamento,Departamento,Bs.As. G.B.A. Oeste,,,,,,2,27700.0,mercadolibre,ML,Departamento - Villa Santos Tesei,,1108.0,50,m²,Venta,,,https://api.mercadolibre.com/items/MLA1128375164,
Bouchard al al 1700,17680164,Urrutia y Asoc,0,2,3,60000.0,1714.2857142857142,105.0,m²,USD,"Sun, 25 Sep 2022 19:34:19 GMT",,"Triplex de categoría en excelente zona próximos a las estaciones de Castelar y Morón. En planta baja encontramos el living comedor con cocina integrada, un toilette y jardín con parrilla. La planta alta cuenta con 3 dormitorios con placard, uno en suite, y un baño común . Incluye amplia cochera cubierta.",Lateral,Morón,"{'Cocina': True, 'Jardín': True, 'Living comedor': True, 'Cantidad plantas': '2', 'Cobertura cochera': 'Cubierta', 'Frente del terreno (mts)': '0', 'Largo del terreno (mts)': '0', 'Parrilla': True}",1,True,True,False,,,,-34.65131209,Publicado hace más de 1 año,48006391,-58.6307979534,,0.0,,,O,180000,True,Ph,Ph,GBA Oeste,0.0,mts,,,,4,45000.0,zonaprop,ZP,PH - Moron,1,1333.3333333333333,135.0,m²,venta,,,https://www.zonaprop.com.ar/propiedades/ph-moron-48006391.html,2022
,,,13.0,2,4,,,160.0,m²,,"Sun, 25 Sep 2022 19:34:20 GMT",,"Propiedad desarrollada en 3 plantas en la zona de adrogue a 100 m del centro. Esta propiedad cuenta con: Planta baja cochera en jardín, Cochera cubierta para 2 vehículos, hall de entrada living comedor con amplios ventanales con vista al parque, cocina con alto y bajo mesada con todos los artefactos, lavadero individual, 4 habitaciones , 1 habitacion en suite con baño completo y ducha escocesa, 4 Baños, pequeño altillo, parque en el fondo con parrilla y piscina todas las puertas son dobles de aluminio y roble, dátalles de categoría. No dudes en consultarnos Fabiana De Bernardis gestión inmobiliaria.",,,,3,True,False,False,,,,,,,,,,,,,,False,,,,,,,,,5,,zonaprop,ZP,"Casa en Venta en Adrogue, Almirante Brown",2,,500.0,m²,,,,https://www.zonaprop.com.ar/propiedades/casa-en-venta-en-adrogue-almirante-brown-49055614.html,2009.0
,,,40.0,1,2,,,,,,"Sun, 25 Sep 2022 19:34:20 GMT",,"Lote en venta en ADROGUE. Sobre calle Capitán de Fragata Moyano al 300 Calle con bastante tránsito, a 200 metros de la Av. Hipólito Irigoyen Barrio residencial muy lindo. Uno de los últimos lotes que quedan para construir tu casa o llevar adelante algún proyecto chico de dúplex. La casa alpina que se encuentra es de 3 ambientes, necesita refacciones y reparación del techo. ",,,,,True,False,False,,,,,,,,,,,,,,False,,,,,,,,,3,,zonaprop,ZP,Terreno - Adrogue,1,,300.0,m²,,,,https://www.zonaprop.com.ar/propiedades/terreno-adrogue-50218440.html,1982.0
Canale 1802,30035496,Valeria Carrizo,22.0,1,4,34750.0,1069.2307692307693,130.0,m²,USD,"Sun, 25 Sep 2022 19:34:20 GMT","Sun, 05 Jun 2022 19:34:22 UTC","Increíble casa en Adrogue de categoría !! 5 ambientes. En impresionante estado, hermoso living al ingreso con mucha luz. Ventanas amplias, techos con molduras. Se comunica con comedor diario amplio y con la hermosa cocina. Con muebles bajo y alto mesada, tres amplios dormitorios con hermosos placares, modernos y amplios. Uno de ellos da al jardín de la propiedad. Los otros dos al frente. Un baño muy moderno y completo con bañera. 4 dormitorios u oficina en altillo con mucha luz y espacio. Cochera cubierta. Destacamos la calidez, luz espacio y conservación de los ambientes. Es una casa prácticamente a estrenar. Con luz natural y la distribución muy buena. Calefacción por aire y tiro balanceado.  Expensas: 0 ",,Almirante Brown,"{'Altillo': True, 'Comedor': True, 'Escritorio': True, 'Jardín': True, 'Living': True, 'Living comedor': True, 'Patio': True, 'Aire acondicionado': True}",2,True,False,False,868.75,,,-34.7911221,Publicado hace 112 días,49756555,-58.38407349999999,,0.0,,Adrogué,,139000,True,Casa,Casa,GBA Sur,160.0,m²,,,,5,27800.0,zonaprop,ZP,Casa 5 Ambientes con Cochera en Adrogue,,868.75,160.0,m²,venta,,,https://www.zonaprop.com.ar/propiedades/casa-5-ambientes-con-cochera-en-adrogue-49756555.html,2000.0
Soler al 200,17019681,DIAZ MAYER & BRIE PROPIEDADES ,0,4,4,330000.0,3771.4285714285716,350.0,m²,USD,"Sun, 25 Sep 2022 19:34:20 GMT","Tue, 01 Feb 2022 19:34:23 UTC","Excepcional propiedad inteligente (Domotizada) desarrollada en 3 plantas sobre gran lote de casi 620m2. La casa desarrollada, diseñada y ambientada con excelente gusto y de acuerdo a las últimas tendencia. De concepto abierto consta de un amplísimo living y comedor que fluye hacia la cocina con gran cantidad de muebles bajo y sobre mesada, con sugestiva isla de diseño que se conecta con el comedor diario; en la PB también encontramos un toilette de recepción, dependencias de servicio con baño completo , y un gran lavadero con su sala de maquinas; en el jardín del frente hay estacionamiento para 6 autos, 2 de ellos cubiertos, en el del fondo piscina climatizada con cerco vidriado de altísima calidad y cascada. En la PA están los dormitorios, el principal de mas de 50m2 en suite con baño con Jacuzzi de 25m2. Todos los hambientes con AA y calefaccionados por losa radiante (incluso la galería), todas las aberturas con DVH, todos los pisos de porcelanato. La casa es inteligente y tiene domotizada las cortinas eléctricas, el control de la alarma, el riego, la piscina, las luces principales y la cerradura de la entrada principal, estando preparada para domotizar todos los ambientes. Para finalizar la cas cuenta con play-room de gran diseño con cava desarrollado en el subsuelo pero con luz natural. Para disfrutar de la mas alta calidad de vida. Ubicada en el área central de Adrogué Chico B° Privado, en un entorno único por su seguridad, por su variada y frondosa arboleda, por sus amenities de excepción (canchas de tenis de polvo de ladrillo, cancha de futbol 7, SUM, Gimnasio, gran pileta con solarium y área de recreación, todas las partes comunes parquizadas e iluminadas. IMPERDIBLE. ",,Almirante Brown,"{'Altillo': True, 'Balcón': True, 'Cocina': True, 'Comedor': True, 'Comedor de diario': True, 'Dependencia servicio': True, 'Dormitorio en suite': True, 'Jardín': True, 'Lavadero': True, 'Living': True, 'Sótano': True, 'Terraza': True, 'Toilette': True, 'Vestidor': True, 'Aire acondicionado': True, 'Alarma': True, 'Calefacción': True, 'Vigilancia': True, 'Cantidad plantas': '3', 'Cobertura cochera': 'Cubierta', 'Frente del terreno (mts)': '19', 'Largo del terreno (mts)': '39', 'Hidromasaje': True, 'Parrilla': True, 'Pileta': True, 'Solarium': True}",6,True,True,False,2132.471728594507,,,-34.8089406,Publicado hace 236 días,49097628,-58.4065655,,30000.0,,Adrogué Chico,,1320000,True,Casa,Casa,GBA Sur,619.0,m²,,,,8,165000.0,zonaprop,ZP,Espectacular Casa en Venta en Barrio Privado Adrogue Chico,,2132.471728594507,619.0,m²,venta,,,https://www.zonaprop.com.ar/propiedades/espectacular-casa-en-venta-en-barrio-privado-adrogue-49097628.html,2022
Soler 235,17019681,DIAZ MAYER & BRIE PROPIEDADES ,0,,,,,,,USD,"Sun, 25 Sep 2022 19:34:20 GMT","Tue, 26 Oct 2021 19:34:23 UTC","Espectacular Lote de 1685m2 (25.5*60 aprox) con frente a Adrogue Chico, ideal emprendimiento, en una zona de franco crecimiento, arbolado. Múltiples alternativas, no deje de consultar.",,Almirante Brown,"{'Frente del terreno (mts)': '25', 'Largo del terreno (mts)': '67'}",,True,True,,167.16417910447763,,,-34.8085556715,Publicado hace 334 días,48664281,-58.4064777556,,0.0,,Adrogué,,280000,True,Terreno,Terreno,GBA Sur,1675.0,mts,,,,,,zonaprop,ZP,Espectacular Lote de 1685 m²,,166.1721068249258,1685.0,m²,venta,,,https://www.zonaprop.com.ar/propiedades/espectacular-lote-de-1685-m-sup2-48664281.html,2022
General Pedro Díaz 3400,233547533,Juan Carlos Treco CUCICBA 4037 / CMCPDJLM 740,28.0,2,4,21250.0,1036.5853658536585,82,m²,USD,"Sun, 25 Sep 2022 19:34:19 GMT","Mon, 08 Aug 2022 15:56:34 UTC","Corredor Responsable: Juan Carlos Treco CUCICBA 4037 / CMCPDJLM 740 - 
Contacto: Matias Rodrigo Amarillo Juarez
HERMOSO DUPLEX 5 AMB. EN BARRIO CERRADO EN HURLINGHAM. EL MISMO SE DISTRIBUYE DE LA SIGUIENTE MANERA:

P.B: LIVING COMEDOR AMPLIO, COCINA COMEDOR DIARIO, TOILETTE, JARDÍN CON PARRILLA Y COCHERA .

P.A: HALL DE DISTRIBUCIÓN HACIA 3 DORMITORIOS (con placard) Y BAÑO (con bañera). TECHO DE MADERA Y TEJAS. CUENTA CON UN ALTILLO QUE PUEDE SER UN DORMITORIO MAS.

IMPECABLE ESTADO, TIENE BAJAS EXPENSAS, DIGNA DE VISITAR.


La oficina es de operación y gestión independiente.
La presente publicación describe las características esenciales del inmueble, debiéndose consultar al corredor público inmobiliario responsable de la operación por la eventual actualización de las medidas, descripciones arquitectónicas y funcionales, valores de expensas, servicios, impuestos, precios y demás información, cuyos valores son aproximados. Los agentes/gestores NO ejercen el corretaje inmobiliario. Todas las operaciones inmobiliarias son objeto de intermediación y conclusión por parte del corredor público inmobiliario responsable de la presente publicación.
Comprá la casa que querés! No la que podés. Accedé a un préstamo por hasta el 30% del valor de esta propiedad. Simulá tu cuota en Lendar.",,Hurlingham,"{'Parrilla': False, 'Toilette': False, 'Apto crédito': True, 'Dormitorios': '4', 'Superficie cubierta': '82 m²', 'Cantidad de pisos': '2', 'Baños': '2', 'Tipo de casa': 'Dúplex', 'Expensas': '3000 ARS', 'Cocheras': '2', 'Antigüedad': '28 años', 'Ambientes': '5', 'Superficie total': '104 m²', 'Operación': 'Venta', 'Subtipo de operación': 'Propiedad individual', 'Inmueble': 'Casa', 'Condición del ítem': 'Usado', 'Tour virtual': False}",2,True,False,False,817.3076923076923,,,-34.598907,Publicado hace 48 días,MLA1150533113,-58.655247,,3000,ARS,Hurlingham,,85000,True,Casa,Casa,Bs.As. G.B.A. Oeste,104,m²,,,,5,17000.0,mercadolibre,ML,Hermoso Duplex En Barrio Cerrado,,817.3076923076923,104,m²,Venta,,,https://api.mercadolibre.com/items/MLA1150533113,1994.0
colectora sur km 54 entre Fortin chaco y Manuela gomez SN,19396541,,,1,1,,,30,m²,ARS,"Sun, 25 Sep 2022 19:34:20 GMT","Sun, 07 Aug 2022 11:36:32 UTC",El módulo tiene 6x3 … listo para habitar el precio no incluye flete a lugar de destino…permutaría por auto mayor valor,,General Rodríguez,"{'Dormitorios': '1', 'Superficie cubierta': '30 m²', 'Baños': '1', 'Cocheras': '0', 'Superficie total': '30 m²', 'Operación': 'Venta', 'Subtipo de operación': 'Propiedad individual', 'Inmueble': 'Casa', 'Tour virtual': False}",0,,False,,,,,-34.587643,Publicado hace 49 días,MLA1150470543,-58.97556,,,,General Rodríguez,,1700000,True,Casa,Casa,Buenos Aires Interior,,,,,,,,mercadolibre,ML,Vendo Casa Tipo Container 6x3 Tomo Permuta,,,30,m²,Venta,,,https://api.mercadolibre.com/items/MLA1150470543,
"7W9V+39 Plomer, Provincia de Buenos Aires, Argentina",82321710,,,,,,,,,USD,"Sun, 25 Sep 2022 19:34:20 GMT","Wed, 14 Sep 2022 23:08:35 UTC","¿Buscas invertir en bienes raices?
ULTIMOS lotes en promoción aplicables a lotes de 300m2. VALOR FINAL. SIN GASTOS incluido en el precio gastos de escribanía.
Para lotes de mayor tamaño comunicate para mas información.
El BARRIO DON LUIS YACHTING CLUB se encuentra en el partido de Gral. Rodríguez . Se accede por la Ruta 6 y luego por la ruta 24, de rápido acceso desde CABA por la Autopista Acceso Oeste.
OPORTUNIDAD para que tengas tu casa rodeado de verde, tranquilidad y SEGURIDAD para tu familia. Cuenta con el respaldo de otros 3 desarrollos en la misma zona.
El Barrio se desarrolla sobre 58 hectáreas, con 963 lotes. Cuenta con toda la infraestructura que necesitas vos y tu familia:
* Lotes desde 300m2, se entrega con cerco alambrado, parrilla y quincho.
* 2 Lagunas para deportes acuáticos sin motor
* Club House
* Restaurante
* Proveeduría
* WI FI
* Espacio verdes
* Locales comerciales
* 3 Canchas de futbol
* 2 Canchas de Paddle
* 2 Canchas de Tenis
* Sector Playa
* Piscina para adultos
* Piscina para niños
Los lotes se entregan en un plazo aproximado de 6 meses y se ESCRITURAN en 36 meses aprox.
Las expensas se abonan el 50% a partir de la posesion y luego el 100% cuando el barrio tenga todos los espacios terminados.",,General Rodríguez,"{'Luz eléctrica': True, 'Forestación': True, 'Seguridad 24 horas': True, 'Acceso': 'Otro', 'Forma del terreno': 'Regular', 'Expensas': '0 ARS', 'Superficie total': '300 m²', 'Operación': 'Venta', 'Subtipo de operación': 'Propiedad individual', 'Inmueble': 'Terreno y lote', 'Condición del ítem': 'Usado', 'Tour virtual': False}",,,False,,,,,-34.732307,Publicado hace 10 días,MLA1168754937,-59.05662,,0,,General Rodríguez,,8500,True,Terreno,Terreno,Buenos Aires Interior,,,,,,,,mercadolibre,ML,Preventa De Lotes En Barrio Cerrado Yachting Club Don Luis,,28.333333333333332,300,m²,Venta,,,https://api.mercadolibre.com/items/MLA1168754937,
LIBERTADOR SAN MARTIN 110,51034861,,,,,,,,,USD,"Sun, 25 Sep 2022 19:34:20 GMT","Thu, 08 Sep 2022 23:30:47 UTC",Excelente inversión,,General Rodríguez,"{'Acceso': 'Tierra', 'Superficie total': '800 ha', 'Operación': 'Venta', 'Subtipo de operación': 'Propiedad individual', 'Inmueble': 'Terreno y lote', 'Tour virtual': False}",,,False,,,,,-34.608326,Publicado hace 16 días,MLA1165078006,-58.950943,,,,General Rodríguez,,28000,True,Terreno,Terreno,Buenos Aires Interior,,,,,,,,mercadolibre,ML,Lote Terreno ,,35.0,800,ha,Venta,,,https://api.mercadolibre.com/items/MLA1165078006,
ruta 6 km 142 SN,69610655,,,,,,,,,USD,"Sun, 25 Sep 2022 19:34:20 GMT","Mon, 05 Sep 2022 00:10:18 UTC","Lote de 1000 m2 Los Tres Pinos, Gral Rodríguez en el barrio El Estribo. 

Ubicado en la ruta 6 km 142 en Gral Rodríguez, al lado del Aero Country Club y Elevage Resort.

Es un complejo de 7 barrios interconectados con canchas de polo, golf, tenis, futbol, caballerizas, club house, seguridad.",,General Rodríguez,"{'Acceso': 'Asfalto', 'Superficie total': '500 ha', 'Operación': 'Venta', 'Subtipo de operación': 'Propiedad individual', 'Inmueble': 'Terreno y lote', 'Tour virtual': False}",,,False,,,,,-34.603157,Publicado hace 20 días,MLA1162809389,-59.039032,,,,General Rodríguez,,25000,True,Terreno,Terreno,Buenos Aires Interior,,,,,,,,mercadolibre,ML,Terreno Y Lote En Venta Barrio Los Tres Pinos,,50.0,500,ha,Venta,,,https://api.mercadolibre.com/items/MLA1162809389,
Av. Monteverde (ruta 4)  y Figueroa.,17019681,DIAZ MAYER & BRIE PROPIEDADES ,0,,,,,,,USD,"Sun, 25 Sep 2022 19:34:20 GMT",,"Altos de Monteverde es un loteo que comulga lo residencial con lo comercial, sobre la Avenida están los lotes comerciales y hacia el interior se desarrolla la parte urbana, la cual contará con luz eléctrica domiciliaria y pública, así como la forestación y el trazado de calles con su cuneteado correspondiente. Lote COMERCIAL sobre la Av. Monteverde de 20m de frente por 50m de fondo. Digno de Ver. Lote 422 ml. RETASADO!!! ULTIMO EN ESTE VALOR!!! IMPERDIBLE!!!! ESCRITURA INMEDIATA!!!",,Almirante Brown,{},,True,True,,,,,-34.8208371807,Publicado hace más de 1 año,45028615,-58.3571885834,,0.0,,Burzaco,,72000,True,Terreno,Terreno,GBA Sur,,,,,,,,zonaprop,ZP,Terreno - Burzaco,,72.0,1000.0,m²,venta,,,https://www.zonaprop.com.ar/propiedades/terreno-burzaco-45028615.html,2022
Jorge al 1500,17019655,ADROGUE,0,3,5,74000.0,1156.25,320.0,m²,USD,"Sun, 25 Sep 2022 19:34:21 GMT",,"IDEAL CASA PARA DOS FAMILIAS.- CASA ADELANTE: PB: LIVING COMEDOR, COCINA COMEDOR, FAMILY ROOM, TOILETTE, GARAGE PARA UN AUTO, LAVADERO. PA: TRES DORMITORIOS MUY AMPLIOS, BAÑO COMPLETO. CASA ATRÁS: LIVING, COCINA COMEDOR, DOS DORMITORIOS, BAÑO.- ESCRITURA A CARGO DE LA PARTE COMPRADORA",,Almirante Brown,"{'Cantidad plantas': '2', 'Frente del terreno (mts)': '0', 'Largo del terreno (mts)': '0'}",,True,True,,242.14659685863873,,,-34.8013393,Publicado hace más de 1 año,44915144,-58.3823638,,0.0,,Adrogué,,370000,True,Casa,Casa,GBA Sur,1528.0,m²,,,,,,zonaprop,ZP,Casa - Adrogue,,242.14659685863873,1528.0,m²,venta,,,https://www.zonaprop.com.ar/propiedades/casa-adrogue-44915144.html,2022
Camino de la Costa Brava 0,30027077,DAMBOLENA ,,,,,,,,USD,"Sun, 25 Sep 2022 19:34:22 GMT",,"Campo en Venta - Partido de Zárate Ubicación: Camino de la Costa Brava, Localidad de Zárate, Partido de Zárate Complejo Industrial Superficie Total 2,7 Hectáreas (27.000m2) Frente de 140m sobre Camino Fondo de 200m Área Rural Zonificación Industrial 3 (ZI3) Servicios: Tendido Eléctrico Tendido Gasoducto de alta presión que pasa por asfalto Recolección de Residuos No posee Cloacas Se escuchan Ofertas de Contado Posibilidad de Permuta y Financiación Tenemos más propiedades disponibles, no dudes en CONTACTARNOS.Corredor Responsable: Martín Dambolena CMCPDJMGR 205 - CUCICBA 7176 Martillero: Martín Dambolena CMCPDJMGR 205 - CUCICBA 7176",,Zárate,{},,,,,,,,-34.0851298,Publicado hace más de 1 año,47494075,-59.0597756,,,,,,550000,True,Campo,Campo,GBA Norte,,,,,,,,zonaprop,ZP,"Terreno Fraccion en Venta Ubicado en Zárate, G. B. a. Zona Norte",,275000.0,2.0,m²,venta,,,https://www.zonaprop.com.ar/propiedades/terreno-fraccion-en-venta-ubicado-en-zarate-g.-b.-a.-47494075.html,
Parque Industrial Zarate 200 ha,17136392,SOSA VIVANCO NEGOCIOS INMOBILIARIOS,0,,,,,,,USD,"Sun, 25 Sep 2022 19:34:22 GMT",,"Emprendimiento de 200 has en zarate a 2.000 mts de las Terminales Portuarias.Accesos internos de hormigón de alta resistencia (H30).Energía eléctrica, tendido de media tensión en 13.2 KVA.Gas, gasoducto interno.Comunicaciones, acceso a telefonía y datos con fibra óptica.Agua, subterránea de alta calidad.Beneficios impositivos tanto municipales como provinciales. Financiación. Para más información, llámanos al: ",,Zárate,"{'Cantidad plantas': '1', 'Frente del terreno (mts)': '0', 'Largo del terreno (mts)': '0'}",,True,True,,,,,-34.1005056,Publicado hace más de 1 año,47335548,-59.022063,,0.0,,Zárate,,60,True,Campo,Campo,GBA Norte,0.0,mts,,,,,,zonaprop,ZP,Parque Industrial Paraná de Las Palmas,,0.3,200.0,m²,venta,,,https://www.zonaprop.com.ar/propiedades/parque-industrial-parana-de-las-palmas-47335548.html,2022
Ruta 193 Ant. Argentina a 2 km de Ruta 9 - Zárate,17084667,Grupo Adrián Mercado - Gestión Inmobiliaria,0,,,,503.29074719318623,2583.0,m²,USD,"Sun, 25 Sep 2022 19:34:22 GMT",,"Establecimiento industrial con muy buena aptitud para frigorífico de vegetales, ubicado sobre Antártida Argentina ex Ruta 193 camino a Solis a 2 km de Ruta Panamericana altura km 87.5 en Zárate, a 9 km del puerto, a 16 km del puerto de Campana, a 87 km de CABA y a 240 km de Rosario. Desarrollado sobre 15.700 m2 aprox. de terreno se ubican dos naves en muy buen estado con estructura de mampostería y cubierta metálica con aislacion, de aproximadamente 2583 m2 cubiertos con 6 mts de altura libre para stock y empaque, una de las naves cuenta con un entre piso y posee desnivel como dock de carga movible. Esta compartimentada en varias cámaras de frío, montacargas, sector de oficinas administrativas en planta alta, áreas auxiliares correspondientes a baños vestuarios, cocina y comedor, taller y pañol. Buena playa de maniobras, pequeña oficina de control de acceso, portón de ingreso automatizado, casa para encargado, iluminación exterior y alambrado perimetral en todo el predio. Posee Habilitación aduanera para consolidación de carga en el predio para exportación y despacho. Energía trifasica, planta de precipitación de efluentes sólidos en la parte posterior de la propiedad con vuelco al canal a cielo abierto para agua de lavado, agua de pozo, efluentes cloacales en pozo negro con cámara de inspección y séptica, posibilidad de conexión al gasoducto troncal que pasa por la ruta frente al campo para suministro de alta presión. ",,Zárate,"{'Fuerza motriz': True, 'Montacarga': True, 'Cantidad plantas': '1', 'Frente del terreno (mts)': '0', 'Largo del terreno (mts)': '0', 'Internet / Wifi': True}",,True,True,,,,,-34.1346259,Publicado hace más de 1 año,46417108,-59.0428508,,0.0,,,,1300000,True,Galpon y depositos,Galpon,GBA Norte,0.0,mts,,,,,,zonaprop,ZP,Nave Industrial - Zarate,,82.80254777070064,15700.0,m²,venta,,,https://www.zonaprop.com.ar/propiedades/nave-industrial-zarate-46417108.html,2022
